Date,Time,Temperature,Humidity,Rainfall,Wind_Speed,Wind_Direction
2017-05-22,9:30,28.1,74.4,2,2.8,SW
2017-05-22,12:30,27.4,74.3,1.7,2,W
2017-05-22,18:30,27.7,80.5,3.3,1.4,NW
2017-05-23,9:30,27,81.7,2.7,1.7,W
2017-05-23,12:30,28.3,75,7.4,2.2,W
2017-05-23,18:30,28.8,83.1,9.8,1.1,NW
2017-05-24,9:30,27.9,77.8,3.9,2.5,SW
2017-05-24,12:30,28,68.1,0,4.8,SW
2017-05-24,18:30,27.9,90.8,0,0.4,N
2017-05-25,9:30,27.1,80.6,8.1,2.6,S
2017-05-25,12:30,27.1,70.9,47.5,5.8,S
2017-05-25,18:30,27.1,81.4,46.9,0.9,W
2017-05-26,9:30,27.1,84.5,7.2,3.3,S
2017-05-26,12:30,27.8,71.4,13.5,2.7,S
2017-05-26,18:30,28.8,89.5,12.2,0,Calm
2017-05-27,9:30,27.6,82.7,4.2,2,SW
2017-05-27,12:30,27.9,72.5,0,2.4,W
2017-05-27,18:30,27.8,87.6,0,0,NW
2017-05-28,9:30,28.1,79.8,5.9,2.4,SW
2017-05-28,12:30,27.8,74.4,0,2.3,S
2017-05-28,18:30,27,87.5,0,0,N
2017-05-29,9:30,26.5,80.2,3.3,2.2,SW
2017-05-29,12:30,22.1,100,47.1,1.9,SE
2017-05-29,18:30,22.1,85.8,47.7,0,Calm
2017-05-30,9:30,21.3,97.8,20.1,1.5,S
2017-05-30,12:30,20.5,95.7,28.6,4.6,SE
2017-05-30,18:30,20.8,87.3,34.8,3,S
2017-05-31,9:30,24.1,82.2,32.9,1.7,SW
2017-05-31,12:30,27.3,77.4,40.2,2,W
2017-05-31,18:30,27,81,14,1.9,SW
2017-06-01,9:30,26.7,76.7,0,2.7,SW
2017-06-01,12:30,25.9,79,0,0.3,Calm
2017-06-01,18:30,25.6,85.1,17.9,0,Calm
2017-06-02,9:30,24.8,90.4,45.1,1.2,S
2017-06-02,12:30,25,81.1,39.4,0,Calm
2017-06-02,18:30,24.6,93.5,11.3,2.3,S
2017-06-03,9:30,24.3,82.3,8.3,2.6,E
2017-06-03,12:30,25.1,82,8.5,1.4,SW
2017-06-03,18:30,25.4,88.7,9.2,0,NW
2017-06-04,9:30,26.3,79.8,0,2.3,S
2017-06-04,12:30,27,83.4,0,0,Calm
2017-06-04,18:30,26.3,85.1,2.6,1.2,NW
2017-06-05,9:30,26.8,76.7,2.4,2.3,SW
2017-06-05,12:30,27,81.2,0.9,1.1,NW
2017-06-05,18:30,26.8,84.2,1.9,1.5,SW
2017-06-06,9:30,25.4,83.9,35.6,2.9,SW
2017-06-06,12:30,25.4,82.9,44.6,0,Calm
2017-06-06,18:30,25.1,91.5,13.9,1.8,W
2017-06-07,9:30,24.9,80.7,11.2,3.6,SW
2017-06-07,12:30,25.7,87.7,7.9,1.1,W
2017-06-07,18:30,25.4,91.2,9.8,1,W
2017-06-08,9:30,26,80,22.8,2.9,SW
2017-06-08,12:30,26.4,85.8,21.8,0.6,NW
2017-06-08,18:30,26.5,89.9,8.3,2.1,W
2017-06-09,9:30,27.1,75,0.3,2.6,SW
2017-06-09,12:30,27.4,83.1,0.4,0.4,W
2017-06-09,18:30,25.7,92.8,6.3,0,N
2017-06-10,9:30,22.7,93.5,16.6,1.4,SW
2017-06-10,12:30,22,93.4,13.9,1.4,N
2017-06-10,18:30,21.8,92.3,15.7,1.7,W
2017-06-11,9:30,22.6,89.4,18.7,3.6,SW
2017-06-11,12:30,21.5,83.8,25.2,4.8,SW
2017-06-11,18:30,22.3,91.7,16.9,2.4,W
2017-06-12,9:30,23,89.7,13.6,4.6,SW
2017-06-12,12:30,23,85.6,12.7,4.5,S
2017-06-12,18:30,23.5,92,13.1,4.1,SW
2017-06-13,9:30,22.6,83.8,18.2,6.4,SE
2017-06-13,12:30,23.1,91,17.6,3.5,SE
2017-06-13,18:30,24.1,88.5,13.1,4.2,S
2017-06-14,9:30,23.9,82.5,28,4.6,S
2017-06-14,12:30,23.8,85,29.2,2.8,SW
2017-06-14,18:30,24.8,88.5,6.5,2.3,W
2017-06-15,9:30,25.4,74.9,0,2.5,SW
2017-06-15,12:30,24.4,85.7,0,0.3,NW
2017-06-15,18:30,24.2,91.9,0.8,0,Calm
2017-06-16,9:30,27.1,72.9,0.9,2.5,SW
2017-06-16,12:30,26.8,85.9,0,0,Calm
2017-06-16,18:30,27.1,84.6,0,1.5,W
2017-06-17,9:30,27.1,70.6,0,3.1,SW
2017-06-17,12:30,26.8,82.3,0,0.4,N
2017-06-17,18:30,26.2,83.5,3,1.6,SW
2017-06-18,9:30,27.6,69,0,2.6,SW
2017-06-18,12:30,27.9,84.8,0,0.1,N
2017-06-18,18:30,27.6,79.1,0.6,2,SW
2017-06-19,9:30,26.7,74.3,0,3,SW
2017-06-19,12:30,26.3,83.2,2.1,1.3,W
2017-06-19,18:30,26.6,81.8,3.2,2.2,W
2017-06-20,9:30,27.7,75.4,0,2.2,W
2017-06-20,12:30,28,79.6,0,1,NW
2017-06-20,18:30,27,79.8,0.3,1.9,SW
2017-06-21,9:30,26.2,76.6,0,2.5,W
